frame,ID,xmin,ymin,xmax,ymax,remove,x,y,velocity
1732,12184,398,256,413,281,False,405.5,268.5,1.63039228786991
1732,12669,467,34,477,61,False,472.0,47.5,5.70087712549569
1732,12709,385,253,399,276,False,392.0,264.5,0.25
1732,12861,31,304,51,321,False,41.0,312.5,4.35838743374108
1732,13780,445,286,463,302,False,454.0,294.0,2.02469562184322
1732,14246,225,241,247,257,False,236.0,249.0,4.7169905660283
1732,14290,556,135,563,153,False,559.5,144.0,2.01556443707464
1732,14351,24,322,38,342,False,31.0,332.0,3.90512483795333
1732,14369,455,369,475,387,False,465.0,378.0,6.40312423743285
1732,14379,1,297,13,311,False,7.0,304.0,2.5
1732,14516,337,171,362,184,False,349.5,177.5,9.65660395791398
1732,14544,495,130,515,143,False,505.0,136.5,4.03112887414927
1732,14659,131,210,158,223,False,144.5,216.5,7.22746723125572
1732,14714,344,251,369,262,False,356.5,256.5,2.06155281280883
1732,14809,493,12,506,32,False,499.5,22.0,1.41086789039895
1732,14825,227,163,239,189,False,233.0,176.0,7.35266171865879
1732,14843,452,295,462,317,False,457.0,306.0,2.23606797749979
1732,14920,411,441,430,457,False,420.5,449.0,6.51920240520265
1732,14925,325,281,346,293,False,335.5,287.0,7.90569415042095
1732,14930,491,130,505,145,False,498.0,137.5,2.82842712474619
1732,14946,317,189,351,200,False,334.0,194.5,6.57647321898295
1732,14961,137,213,155,224,False,146.0,218.5,4.12310562561766
1732,14972,112,162,122,184,False,117.0,173.0,5.8371958190201
1732,14977,539,177,547,198,False,543.0,187.5,4.3767853500029
