frame,ID,xmin,ymin,xmax,ymax,remove,x,y,velocity
2761,15373,322,177,338,198,False,330.0,187.5,6.02079728939615
2761,16156,527,100,546,116,False,536.5,108.0,4.60977222864644
2761,16748,46,90,56,103,False,51.0,96.5,0.5
2761,16959,36,395,56,404,False,46.0,399.5,1.11803398874989
2761,17697,37,388,64,400,False,50.5,394.0,4.6691562844012
2761,17774,16,161,26,179,False,21.0,170.0,0.0
2761,18468,602,219,614,235,False,608.0,227.0,0.0
2761,19043,538,313,556,338,False,547.0,325.5,1.11803398874989
2761,19054,179,65,201,78,False,190.0,71.5,0.946696930412928
2761,19204,463,423,476,440,False,469.5,431.5,2.82842712474619
2761,19244,296,351,320,361,False,308.0,356.0,4.0
2761,19313,65,406,78,435,False,71.5,420.5,2.23606797749979
2761,19399,383,241,409,254,False,396.0,247.5,4.7169905660283
2761,19494,155,387,176,408,False,165.5,397.5,1.4142135623731
2761,19495,175,111,200,120,False,187.5,115.5,2.54950975679639
2761,19543,434,119,463,132,False,448.5,125.5,0.0
2761,19700,184,89,199,108,False,191.5,98.5,1.87604137747545
2761,19744,420,132,433,151,False,426.5,141.5,2.30925196288737
2761,19789,11,364,23,389,False,17.0,376.5,2.06155281280883
2761,19803,179,66,197,73,False,188.0,69.5,0.5
2761,19842,497,96,504,114,False,500.5,105.0,3.5
2761,19856,236,360,247,378,False,241.5,369.0,3.53553390593274
2761,19871,36,396,56,404,False,46.0,400.0,0.0
2761,19884,398,154,423,172,False,410.5,163.0,3.24793203438742
2761,19902,405,151,421,171,False,413.0,161.0,3.60555127546399
2761,19935,365,229,395,241,False,380.0,235.0,6.02079728939615
2761,19990,367,321,381,349,False,374.0,335.0,7.76208734813001
2761,20023,170,281,180,304,False,175.0,292.5,4.7169905660283
2761,20027,130,52,151,74,False,140.5,63.0,0.0
2761,20030,530,117,544,137,False,537.0,127.0,5.59016994374947
2761,20073,174,90,203,105,False,188.5,97.5,1.58113883008419
2761,20077,529,126,554,140,False,541.5,133.0,4.47213595499958
2761,20082,258,128,286,139,False,272.0,133.5,0.707106781186548
2761,20133,159,387,172,408,False,165.5,397.5,5.83630876496438
2761,20203,466,406,485,424,False,475.5,415.0,8.13941029804985
2761,20210,298,154,314,180,False,306.0,167.0,3.80788655293195
2761,20230,172,97,194,121,False,183.0,109.0,2.5
2761,20268,528,147,546,167,False,537.0,157.0,1.11803398874989
2761,20269,178,168,204,187,False,191.0,177.5,14.560219778561
2761,20274,526,99,542,117,False,534.0,108.0,3.20156211871642
2761,20280,164,42,174,63,False,169.0,52.5,2.12132034355964
2761,20281,511,407,524,428,False,517.5,417.5,2.82842712474619
2761,20287,184,33,214,50,False,199.0,41.5,2.12132034355964
2761,20289,546,311,555,334,False,550.5,322.5,2.69258240356725
2761,20291,360,234,385,242,False,372.5,238.0,6.02079728939615
2761,20297,130,340,159,354,False,144.5,347.0,9.19238815542512
2761,20303,145,323,169,341,False,157.0,332.0,1.80277563773199
2761,20312,402,447,430,460,False,416.0,453.5,6.5
2761,20316,91,358,101,385,False,96.0,371.5,6.5
2761,20318,341,440,353,461,False,347.0,450.5,2.12132034355964
2761,20320,217,118,252,133,False,234.5,125.5,5.59016994374947
2761,20335,451,468,471,480,False,461.0,474.0,1.4142135623731
2761,20336,174,110,191,126,False,182.5,118.0,1.48959353143362
