0
Frame	Time	Event	Trial
1	50246	start	0
279	60247	CS on	0
334	62247	US on	0
388	64247	CS off	0
388	64247	US off	0
659	74248	CS on	1
712	76248	US on	1
767	78248	CS off	1
767	78248	US off	1
1036	88249	CS on	2
1090	90249	US on	2
1144	92249	CS off	2
1144	92249	US off	2
1412	102250	CS on	3
1462	104250	US on	3
1518	106250	CS off	3
1518	106250	US off	3
1787	116251	CS on	4
1841	118251	US on	4
1896	120251	CS off	4
1896	120251	US off	4
2166	130252	CS on	5
2220	132252	US on	5
2274	134252	CS off	5
2274	134252	US off	5
2544	144253	CS on	6
2600	146253	US on	6
2657	148253	CS off	6
2657	148253	US off	6
2925	158254	CS on	7
2979	160254	US on	7
3033	162254	CS off	7
3033	162254	US off	7
3298	172255	CS on	8
3354	174255	US on	8
3411	176256	CS off	8
3411	176256	US off	8
3692	186257	CS on	9
3745	188257	US on	9
3799	190257	CS off	9
3799	190257	US off	9
