Frame	Time	Event	Trial
2	96246	start	0
269	106247	CS on	0
324	108247	US on	0
378	110247	CS off	0
378	110247	US off	0
647	120248	CS on	1
700	122248	US on	1
753	124248	CS off	1
753	124248	US off	1
1024	134249	CS on	2
1080	136249	US on	2
1137	138249	CS off	2
1137	138249	US off	2
1413	148250	CS on	3
1469	150250	US on	3
1525	152250	CS off	3
1526	152250	US off	3
1800	162251	CS on	4
1855	164251	US on	4
1912	166251	CS off	4
1912	166251	US off	4
2194	176252	CS on	5
2250	178252	US on	5
2307	180252	CS off	5
2307	180252	US off	5
2583	190253	CS on	6
2638	192253	US on	6
2694	194253	CS off	6
2694	194253	US off	6
2976	204254	CS on	7
3032	206254	US on	7
3089	208254	CS off	7
3089	208254	US off	7
3362	218255	CS on	8
3418	220255	US on	8
3475	222255	CS off	8
3475	222255	US off	8
3756	232256	CS on	9
3812	234256	US on	9
3868	236256	CS off	9
3869	236256	US off	9
