0	
1	Frame	Time	Event	Trial
1	70809	start	0
285	80811	CS on	0
342	82810	US on	0
400	84810	CS off	0
400	84810	US off	0
682	94811	CS on	1
739	96811	US on	1
797	98811	CS off	1
797	98811	US off	1
1080	108812	CS on	2
1136	110812	US on	2
1193	112812	CS off	2
1194	112812	US off	2
1476	122813	CS on	3
1533	124813	US on	3
1591	126813	CS off	3
1591	126813	US off	3
1877	136814	CS on	4
1935	138814	US on	4
1993	140814	CS off	4
1993	140814	US off	4
2280	150815	CS on	5
2338	152815	US on	5
2396	154815	CS off	5
2396	154815	US off	5
2673	164816	CS on	6
2729	166816	US on	6
2787	168816	CS off	6
2787	168816	US off	6
3072	178817	CS on	7
3129	180817	US on	7
3187	182817	CS off	7
3187	182817	US off	7
3472	192818	CS on	8
3529	194818	US on	8
3587	196818	CS off	8
3587	196818	US off	8
3871	206819	CS on	9
3929	208819	US on	9
3986	210819	CS off	9
3986	210819	US off	9
