0	
1	Time	Event	Trial
1	25391	Start	0
554	45392	CS On	0
610	47392	US On	0
667	49392	US Off	0
667	49392	CS Off	0
1195	68393	CS On	1
1249	70393	US On	1
1305	72393	US Off	1
1305	72393	CS Off	1
1773	89394	CS On	2
1829	91394	US On	2
1886	93394	US Off	2
1886	93394	CS Off	2
2394	111395	CS On	3
2451	113395	US On	3
2507	115395	US Off	3
2508	115395	CS Off	3
2958	131396	CS On	4
3015	133396	US On	4
3071	135396	US Off	4
3071	135396	CS Off	4
3520	151397	CS On	5
3576	153397	US On	5
3633	155397	US Off	5
3633	155397	CS Off	5
4333	180398	CS On	6
4390	182398	US On	6
4446	184398	US Off	6
4447	184398	CS Off	6
5064	206399	CS On	7
5120	208399	US On	7
5177	210399	US Off	7
5177	210399	CS Off	7
5714	229400	CS On	8
5771	231400	US On	8
5828	233400	US Off	8
5828	233400	CS Off	8
6395	253401	CS On	9
6452	255401	US On	9
6509	257401	US Off	9
6509	257401	CS Off	9
7079	277402	CS On	10
7136	279402	US On	10
7193	281402	US Off	10
7193	281402	CS Off	10
8009	310403	CS On	11
8065	312403	US On	11
8122	314403	US Off	11
8122	314403	CS Off	11
8602	331404	CS On	12
8659	333404	US On	12
8716	335404	US Off	12
8716	335404	CS Off	12
9246	354405	CS On	13
9303	356405	US On	13
9360	358405	US Off	13
9360	358405	CS Off	13
9843	375406	CS On	14
9900	377406	US On	14
9957	379406	US Off	14
9957	379406	CS Off	14
10812	409407	CS On	15
10869	411407	US On	15
10927	413407	US Off	15
10927	413407	CS Off	15
11382	429408	CS On	16
11439	431408	US On	16
11496	433408	US Off	16
11496	433408	CS Off	16
11951	449409	CS On	17
12007	451409	US On	17
12065	453409	US Off	17
12065	453409	CS Off	17
12661	474411	CS On	18
12717	476410	US On	18
12774	478410	US Off	18
12775	478410	CS Off	18
13339	498411	CS On	19
13397	500411	US On	19
13454	502411	US Off	19
13454	502411	CS Off	19
14269	531412	CS On	20
14315	533412	US On	20
14357	535412	US Off	20
14358	535412	CS Off	20
14844	552413	CS On	21
14901	554413	US On	21
14959	556413	US Off	21
14959	556413	CS Off	21
15446	573414	CS On	22
15504	575414	US On	22
15561	577414	US Off	22
15562	577414	CS Off	22
16050	594415	CS On	23
16107	596415	US On	23
16165	598415	US Off	23
16165	598415	CS Off	23
16702	617416	CS On	24
16760	619416	US On	24
16817	621416	US Off	24
16818	621416	CS Off	24
17360	640417	CS On	25
17417	642417	US On	25
17475	644417	US Off	25
17475	644417	CS Off	25
17989	662418	CS On	26
18047	664418	US On	26
18104	666418	US Off	26
18104	666418	CS Off	26
18562	682419	CS On	27
18619	684419	US On	27
18676	686419	US Off	27
18677	686419	CS Off	27
19419	712420	CS On	28
19477	714420	US On	28
19534	716420	US Off	28
19534	716420	CS Off	28
20390	746421	CS On	29
20448	748421	US On	29
20505	750422	US Off	29
20506	750422	CS Off	29
