0	
1	Time	Event	Trial
1	40252	Start	0
460	57253	US On	0
515	59253	US Off	0
598	62253	CS On	0
708	66253	CS Off	0
1038	78254	US On	1
1093	80254	US Off	1
1147	82254	CS On	1
1258	86254	CS Off	1
1258	86254	CS On	2
1259	86254	CS Off	2
1673	101255	US On	3
1729	103255	CS On	3
1729	103255	US Off	3
1839	107255	CS Off	3
2168	119256	US On	4
2222	121256	US Off	4
2305	124256	CS On	4
2416	128256	CS Off	4
2995	149257	CS On	5
3050	151257	US On	5
3105	153257	CS Off	5
3106	153257	US Off	6
3602	171258	CS On	6
3712	175258	CS Off	6
3906	182258	US On	7
3961	184258	US Off	7
4182	192259	CS On	7
4292	196259	CS Off	7
4790	214259	US On	8
4846	216259	US Off	8
4846	216260	CS On	8
4956	220260	CS Off	8
5511	240261	CS On	9
5566	242260	US On	9
5622	244260	US Off	9
5622	244261	CS Off	9
6205	265261	US On	10
6258	267261	US Off	10
6477	275262	CS On	10
6588	279262	CS Off	10
6727	284262	US On	11
6783	286262	US Off	11
7061	296263	CS On	11
7173	300263	CS Off	11
7619	316263	US On	12
7619	316264	CS On	12
7675	318263	US Off	12
7731	320264	CS Off	12
8460	346265	CS On	13
8515	348264	US On	13
8571	350264	US Off	13
8571	350265	CS Off	13
9038	367266	CS On	14
9147	371266	CS Off	14
9419	381265	US On	15
9464	383265	US Off	15
