"frame","time","stimulus","event","trial"
1,36450,"start","0",NA
283,46451,"CS","on",0
342,48451,"US","on",0
398,50451,"CS","off",0
398,50451,"US","off",0
676,60452,"CS","on",1
733,62452,"US","on",1
792,64452,"CS","off",1
792,64452,"US","off",1
1080,74454,"CS","on",2
1138,76453,"US","on",2
1197,78453,"CS","off",2
1197,78453,"US","off",2
1488,88454,"CS","on",3
1547,90454,"US","on",3
1605,92454,"CS","off",3
1605,92454,"US","off",3
1896,102455,"CS","on",4
1955,104455,"US","on",4
2014,106455,"CS","off",4
2014,106455,"US","off",4
2304,116456,"CS","on",5
2362,118456,"US","on",5
2421,120456,"CS","off",5
2421,120456,"US","off",5
2702,130457,"CS","on",6
2760,132457,"US","on",6
2818,134457,"CS","off",6
2818,134457,"US","off",6
3109,144458,"CS","on",7
3167,146458,"US","on",7
3226,148458,"CS","off",7
3226,148458,"US","off",7
3501,158459,"CS","on",8
3559,160459,"US","on",8
3617,162459,"CS","off",8
3617,162459,"US","off",8
3907,172460,"CS","on",9
3965,174460,"US","on",9
4023,176460,"CS","off",9
4023,176460,"US","off",9
