"frame","time","stimulus","event","trial"
282,22486,"CS","on",0
339,24485,"US","on",0
396,26485,"CS","off",0
396,26485,"US","off",0
678,36486,"CS","on",1
735,38486,"US","on",1
792,40486,"CS","off",1
792,40486,"US","off",1
1077,50487,"CS","on",2
1133,52487,"US","on",2
1189,54487,"CS","off",2
1189,54487,"US","off",2
1468,64488,"CS","on",3
1524,66488,"US","on",3
1580,68488,"CS","off",3
1580,68488,"US","off",3
1858,78489,"CS","on",4
1913,80489,"US","on",4
1970,82489,"CS","off",4
1970,82489,"US","off",4
2248,92490,"CS","on",5
2303,94490,"US","on",5
2359,96490,"CS","off",5
2359,96490,"US","off",5
2633,106491,"CS","on",6
2690,108491,"US","on",6
2746,110491,"CS","off",6
2747,110491,"US","off",6
3030,120492,"CS","on",7
3087,122492,"US","on",7
3144,124492,"CS","off",7
3144,124492,"US","off",7
3429,134493,"CS","on",8
3486,136493,"US","on",8
3540,138493,"CS","off",8
3540,138493,"US","off",8
3812,148494,"CS","on",9
3867,150494,"US","on",9
3922,152494,"CS","off",9
3922,152494,"US","off",9
