"frame","time","stimulus","event","trial"
1,40252,"Start","0",NA
460,57253,"US","on",0
515,59253,"US","off",0
598,62253,"CS","on",0
708,66253,"CS","off",0
1038,78254,"US","on",1
1093,80254,"US","off",1
1147,82254,"CS","on",1
1258,86254,"CS","off",1
1258,86254,"CS","on",2
1259,86254,"CS","off",2
1673,101255,"US","on",3
1729,103255,"CS","on",3
1729,103255,"US","off",3
1839,107255,"CS","off",3
2168,119256,"US","on",4
2222,121256,"US","off",4
2305,124256,"CS","on",4
2416,128256,"CS","off",4
2995,149257,"CS","on",5
3050,151257,"US","on",5
3105,153257,"CS","off",5
3106,153257,"US","off",6
3602,171258,"CS","on",6
3712,175258,"CS","off",6
3906,182258,"US","on",7
3961,184258,"US","off",7
4182,192259,"CS","on",7
4292,196259,"CS","off",7
4790,214259,"US","on",8
4846,216259,"US","off",8
4846,216260,"CS","on",8
4956,220260,"CS","off",8
5511,240261,"CS","on",9
5566,242260,"US","on",9
5622,244260,"US","off",9
5622,244261,"CS","off",9
6205,265261,"US","on",10
6258,267261,"US","off",10
6477,275262,"CS","on",10
6588,279262,"CS","off",10
6727,284262,"US","on",11
6783,286262,"US","off",11
7061,296263,"CS","on",11
7173,300263,"CS","off",11
7619,316263,"US","on",12
7619,316264,"CS","on",12
7675,318263,"US","off",12
7731,320264,"CS","off",12
8460,346265,"CS","on",13
8515,348264,"US","on",13
8571,350264,"US","off",13
8571,350265,"CS","off",13
9038,367266,"CS","on",14
9147,371266,"CS","off",14
9419,381265,"US","on",15
9464,383265,"US","off",15
