"frame","ID","xmin","ymin","xmax","ymax","remove","x","y","velocity"
2,1,255,456,262,469,FALSE,258.5,462.5,1.58113883008419
2,2,545,435,555,461,FALSE,550,448,0
2,3,566,429,575,444,FALSE,570.5,436.5,0
2,5,547,413,570,423,FALSE,558.5,418,1
2,7,89,347,110,366,FALSE,99.5,356.5,1.11803398874989
2,8,243,315,276,326,FALSE,259.5,320.5,10.5475115548645
2,10,616,301,629,312,FALSE,622.5,306.5,0
2,11,116,276,132,288,FALSE,124,282,0
2,12,486,252,512,271,FALSE,499,261.5,5.40832691319598
2,13,62,239,84,254,FALSE,73,246.5,4.03112887414927
2,14,243,215,252,234,FALSE,247.5,224.5,1.11803398874989
2,16,557,213,565,242,FALSE,561,227.5,3
2,17,186,164,197,190,FALSE,191.5,177,8.07774721070176
2,18,563,172,574,201,FALSE,568.5,186.5,0
2,20,302,124,320,137,FALSE,311,130.5,0
2,22,89,58,101,67,FALSE,95,62.5,0
2,23,345,54,363,73,FALSE,354,63.5,0.5
2,24,226,23,243,33,FALSE,234.5,28,0.5
3,1,256,455,262,467,FALSE,259,461,1.58113883008419
3,2,545,435,555,461,FALSE,550,448,0
3,3,566,430,575,443,FALSE,570.5,436.5,0
3,5,548,413,571,423,FALSE,559.5,418,1
3,7,90,347,111,367,FALSE,100.5,357,1.11803398874989
3,8,253,314,287,325,FALSE,270,319.5,10.5475115548645
3,10,616,301,629,312,FALSE,622.5,306.5,0
3,11,116,276,132,288,FALSE,124,282,0
3,12,491,255,516,274,FALSE,503.5,264.5,5.40832691319598
3,13,60,238,79,251,FALSE,69.5,244.5,4.03112887414927
3,14,243,216,253,235,FALSE,248,225.5,1.11803398874989
3,16,557,209,565,240,FALSE,561,224.5,3
3,17,183,157,194,182,FALSE,188.5,169.5,8.07774721070176
3,18,563,172,574,201,FALSE,568.5,186.5,0
3,20,302,124,320,137,FALSE,311,130.5,0
3,22,89,58,101,67,FALSE,95,62.5,0
3,23,345,54,362,73,FALSE,353.5,63.5,0.5
3,24,225,23,244,34,FALSE,234.5,28.5,0.5
3,25,410,94,431,104,FALSE,420.5,99,3.35410196624968
4,2,545,436,555,462,FALSE,550,449,1
4,3,566,429,575,443,FALSE,570.5,436,0.5
4,5,548,413,570,423,FALSE,559,418,0.5
4,7,92,348,111,366,FALSE,101.5,357,1
4,8,267,312,297,322,FALSE,282,317,12.2576506721313
4,10,615,301,628,312,FALSE,621.5,306.5,1
4,11,116,276,132,288,FALSE,124,282,0
4,12,495,258,519,277,FALSE,507,267.5,4.60977222864644
4,13,56,235,76,249,FALSE,66,242,4.30116263352131
4,14,243,216,253,237,FALSE,248,226.5,1
4,16,557,208,565,239,FALSE,561,223.5,1
4,17,182,152,193,176,FALSE,187.5,164,5.59016994374947
4,18,563,172,574,200,FALSE,568.5,186,0.5
4,20,301,124,320,137,FALSE,310.5,130.5,0.5
4,22,89,58,101,67,FALSE,95,62.5,0
4,23,345,54,363,75,FALSE,354,64.5,1.11803398874989
4,24,225,23,244,34,FALSE,234.5,28.5,0
4,25,412,92,435,103,FALSE,423.5,97.5,3.35410196624968
5,2,545,435,555,459,FALSE,550,447,2
5,3,566,429,575,444,FALSE,570.5,436.5,0.5
5,5,548,413,570,423,FALSE,559,418,0
5,7,93,348,116,371,FALSE,104.5,359.5,3.90512483795333
5,8,277,309,307,319,FALSE,292,314,10.4403065089106
5,10,615,301,629,312,FALSE,622,306.5,0.5
5,11,116,276,133,288,FALSE,124.5,282,0.5
5,12,495,260,521,279,FALSE,508,269.5,2.23606797749979
5,13,53,233,72,247,FALSE,62.5,240,4.03112887414927
5,14,244,218,254,239,FALSE,249,228.5,2.23606797749979
5,15,461,203,481,225,FALSE,471,214,1
5,16,557,208,565,239,FALSE,561,223.5,0
5,17,180,147,191,170,FALSE,185.5,158.5,5.85234995535981
5,18,564,172,574,201,FALSE,569,186.5,0.707106781186548
5,20,301,124,321,137,FALSE,311,130.5,0.5
5,22,89,58,101,67,FALSE,95,62.5,0
5,23,345,54,363,75,FALSE,354,64.5,0
5,24,225,23,244,34,FALSE,234.5,28.5,0
5,29,61,344,74,368,FALSE,67.5,356,2.2636758590977
6,1,257,453,262,463,FALSE,259.5,458,1.0137937550497
6,2,545,435,554,460,FALSE,549.5,447.5,0.707106781186548
6,3,566,429,575,444,FALSE,570.5,436.5,0
6,5,547,413,570,423,FALSE,558.5,418,0.5
6,7,94,349,116,370,FALSE,105,359.5,0.5
6,8,287,307,315,316,FALSE,301,311.5,9.3407708461347
6,10,616,301,629,312,FALSE,622.5,306.5,0.5
6,11,116,276,133,288,FALSE,124.5,282,0
6,12,498,263,523,282,FALSE,510.5,272.5,3.90512483795333
6,13,49,232,69,245,FALSE,59,238.5,3.80788655293195
6,14,244,219,255,241,FALSE,249.5,230,1.58113883008419
6,15,461,202,481,224,FALSE,471,213,1
6,16,557,213,565,242,FALSE,561,227.5,4
6,17,178,142,189,165,FALSE,183.5,153.5,5.3851648071345
6,18,564,173,574,200,FALSE,569,186.5,0
6,19,432,136,452,163,FALSE,442,149.5,5.3851648071345
6,20,301,124,320,137,FALSE,310.5,130.5,0.5
6,22,89,58,101,67,FALSE,95,62.5,0
6,23,344,53,364,78,FALSE,354,65.5,1
6,24,225,23,244,34,FALSE,234.5,28.5,0
6,25,416,91,440,102,FALSE,428,96.5,2.30488611432322
7,2,545,435,554,460,FALSE,549.5,447.5,0
7,3,566,430,575,444,FALSE,570.5,437,0.5
7,5,547,413,570,423,FALSE,558.5,418,0
7,7,95,349,118,371,FALSE,106.5,360,1.58113883008419
7,8,295,305,324,315,FALSE,309.5,310,8.63133825081603
7,10,616,301,629,312,FALSE,622.5,306.5,0
7,11,116,276,133,288,FALSE,124.5,282,0
7,12,498,266,524,286,FALSE,511,276,3.53553390593274
7,13,46,230,65,243,FALSE,55.5,236.5,4.03112887414927
7,14,244,221,255,243,FALSE,249.5,232,2
7,16,557,214,565,243,FALSE,561,228.5,1
7,17,176,136,187,160,FALSE,181.5,148,5.85234995535981
7,18,564,173,573,200,FALSE,568.5,186.5,0.5
7,19,430,131,450,158,FALSE,440,144.5,5.3851648071345
7,20,302,124,320,137,FALSE,311,130.5,0.5
7,22,89,58,101,67,FALSE,95,62.5,0
7,23,345,53,363,77,FALSE,354,65,0.5
7,24,225,23,244,34,FALSE,234.5,28.5,0
7,31,235,291,255,310,FALSE,245,300.5,4.7169905660283
8,2,545,435,554,460,FALSE,549.5,447.5,0
8,3,566,430,575,443,FALSE,570.5,436.5,0.5
8,5,548,413,569,423,FALSE,558.5,418,0
8,7,96,350,118,372,FALSE,107,361,1.11803398874989
8,8,300,304,335,316,FALSE,317.5,310,8
8,10,615,301,629,312,FALSE,622,306.5,0.5
8,11,116,276,132,287,FALSE,124,281.5,0.707106781186548
8,13,42,228,62,241,FALSE,52,234.5,4.03112887414927
8,14,243,224,254,245,FALSE,248.5,234.5,2.69258240356725
8,16,557,215,565,244,FALSE,561,229.5,1
8,17,174,133,185,156,FALSE,179.5,144.5,4.03112887414927
8,18,564,173,573,200,FALSE,568.5,186.5,0
8,19,429,128,447,153,FALSE,438,140.5,4.47213595499958
8,20,302,124,320,137,FALSE,311,130.5,0
8,22,89,58,101,67,FALSE,95,62.5,0
8,23,345,53,362,75,FALSE,353.5,64,1.11803398874989
8,24,226,23,243,33,FALSE,234.5,28,0.5
8,31,232,289,250,307,FALSE,241,298,4.7169905660283
8,32,255,444,275,458,FALSE,265,451,3.20156211871642
8,33,288,343,319,352,FALSE,303.5,347.5,11.5108644332213
8,36,427,99,452,108,FALSE,439.5,103.5,4.60977222864644
8,37,440,81,459,93,FALSE,449.5,87,2.37170824512628
9,2,545,435,554,461,FALSE,549.5,448,0.5
9,3,566,429,575,444,FALSE,570.5,436.5,0
9,5,547,413,570,423,FALSE,558.5,418,0
9,8,306,305,343,318,FALSE,324.5,311.5,7.15891053163818
9,10,615,301,629,312,FALSE,622,306.5,0
9,11,116,276,132,287,FALSE,124,281.5,0
9,13,38,225,60,239,FALSE,49,232,3.90512483795333
9,14,244,225,254,247,FALSE,249,236,1.58113883008419
9,16,557,211,565,241,FALSE,561,226,3.5
9,17,172,132,182,153,FALSE,177,142.5,3.20156211871642
9,18,563,173,574,200,FALSE,568.5,186.5,0
9,19,427,125,445,150,FALSE,436,137.5,3.60555127546399
9,20,301,124,321,137,FALSE,311,130.5,0
9,22,89,58,101,67,FALSE,95,62.5,0
9,23,347,53,361,73,FALSE,354,63,1.11803398874989
9,24,226,23,243,33,FALSE,234.5,28,0
9,31,225,286,242,302,FALSE,233.5,294,8.5
9,32,257,442,278,456,FALSE,267.5,449,3.20156211871642
9,33,299,343,331,353,FALSE,315,348,11.5108644332213
9,36,430,99,458,110,FALSE,444,104.5,4.60977222864644
10,2,545,434,555,460,FALSE,550,447,1.11803398874989
10,3,566,429,575,444,FALSE,570.5,436.5,0
10,5,547,413,570,423,FALSE,558.5,418,0
10,8,314,304,351,317,FALSE,332.5,310.5,8.06225774829855
10,10,615,301,629,312,FALSE,622,306.5,0
10,11,116,276,132,287,FALSE,124,281.5,0
10,13,34,223,56,237,FALSE,45,230,4.47213595499958
10,14,243,227,254,248,FALSE,248.5,237.5,1.58113883008419
10,16,557,213,565,243,FALSE,561,228,2
10,17,169,132,179,150,FALSE,174,141,3.35410196624968
