"frame","time","stimulus","event","trial"
269,141604,"CS","on",0
322,143604,"US","on",0
376,145604,"CS","off",0
377,145604,"US","off",0
646,155606,"CS","on",1
701,157605,"US","on",1
758,159605,"CS","off",1
758,159605,"US","off",1
1035,169606,"CS","on",2
1090,171606,"US","on",2
1146,173606,"CS","off",2
1146,173606,"US","off",2
1426,183607,"CS","on",3
1480,185607,"US","on",3
1534,187607,"CS","off",3
1534,187607,"US","off",3
1811,197608,"CS","on",4
1866,199608,"US","on",4
1923,201608,"CS","off",4
1923,201608,"US","off",4
2202,211609,"CS","on",5
2258,213609,"US","on",5
2314,215609,"CS","off",5
2314,215609,"US","off",5
2593,225610,"CS","on",6
2648,227610,"US","on",6
2704,229610,"CS","off",6
2704,229610,"US","off",6
2979,239611,"CS","on",7
2979,241611,"US","on",7
2979,243611,"CS","off",7
2979,243611,"US","off",7
2979,253612,"CS","on",8
2979,255612,"US","on",8
2979,257612,"CS","off",8
2979,257612,"US","off",8
2979,267613,"CS","on",9
2979,269613,"US","on",9
2979,271613,"CS","off",9
2979,271613,"US","off",9
